Review_Rating,,Review_Rating Avgerage,,,Movie Length,,Movie Length Average
6.5,,,,,89,,
5.2,,,,,89,,
5.2,,,,,98,,
5.5,,,,,79,,
4.9,,,,,86,,
4,,,,,88,,
5.2,,,,,92,,
3.4,,,,,87,,
4.8,,,,,107,,
6.5,,,,,56,,
5.1,,,,,91,,
6.3,,,,,86,,
6.2,,,,,118,,
5.9,,,,,89,,
2.9,,,,,82,,
6.2,,,,,77,,
4.8,,,,,80,,
5.3,,,,,89,,
6.1,,,,,99,,
4.1,,,,,89,,
6.2,,,,,92,,
4.7,,,,,99,,
5.5,,,,,99,,
4.3,,,,,80,,
5.7,,,,,83,,
4.3,,,,,88,,
6.3,,,,,93,,
3.5,,,,,104,,
6.8,,,,,107,,
4.3,,,,,88,,
4.9,,,,,91,,
5.6,,,,,98,,
6.6,,,,,98,,
5,,,,,79,,
5.3,,,,,82,,
4.6,,,,,101,,
4.4,,,,,86,,
7,,,,,116,,
3.3,,,,,90,,
4.8,,,,,93,,
3.6,,,,,82,,
5.7,,,,,100,,
5.7,,,,,84,,
5.2,,,,,87,,
5,,,,,86,,
6.6,,,,,108,,
6.9,,,,,100,,
5.8,,,,,93,,
6.6,,,,,104,,
6.8,,,,,92,,
3.7,,,,,83,,
5.6,,,,,104,,
5.1,,,,,92,,
6.1,,,,,87,,
5.1,,,,,90,,
5.3,,,,,83,,
6.1,,,,,89,,
6.4,,,,,85,,
4.7,,,,,85,,
4.4,,,,,92,,
7,,,,,95,,
4.8,,,,,92,,
7.5,,,,,112,,
4.8,,,,,90,,
4.6,,,,,88,,
4.7,,,,,91,,
6.3,,,,,97,,
3.8,,,,,84,,
6.2,,,,,98,,
5.3,,,,,91,,
7.5,,,,,156,,
6.2,,,,,94,,
5.2,,,,,104,,
5.9,,,,,92,,
5,,,,,110,,
5,,,,,89,,
6.8,,,,,103,,
5.8,,,,,90,,
5.9,,,,,86,,
7.1,,,,,121,,
3.5,,,,,95,,
5.3,,,,,88,,
4.5,,,,,84,,
4.9,,,,,99,,
4.9,,,,,88,,
6,,,,,90,,
4.3,,,,,90,,
4.6,,,,,80,,
5.8,,,,,112,,
7.3,,,,,123,,
5.1,,,,,85,,
3,,,,,101,,
4.5,,,,,91,,
5.8,,,,,116,,
6.5,,,,,104,,
6.1,,,,,112,,
4.2,,,,,81,,
6.7,,,,,100,,
5,,,,,90,,
5.8,,,,,91,,
5.8,,,,,97,,
5.8,,,,,95,,
3.7,,,,,85,,
3.7,,,,,90,,
4.3,,,,,98,,
6.8,,,,,88,,
4.9,,,,,98,,
5.9,,,,,94,,
7.4,,,,,134,,
5.5,,,,,92,,
6.9,,,,,98,,
5.9,,,,,92,,
7.1,,,,,91,,
5.4,,,,,80,,
7.7,,,,,104,,
5.5,,,,,95,,
4.1,,,,,89,,
6,,,,,92,,
3.9,,,,,85,,
3.3,,,,,97,,
4.6,,,,,88,,
5.9,,,,,100,,
5.5,,,,,98,,
6.4,,,,,88,,
5.7,,,,,89,,
2.7,,,,,90,,
4.9,,,,,93,,
5.9,,,,,130,,
5.1,,,,,101,,
4.3,,,,,101,,
5.2,,,,,94,,
6.1,,,,,96,,
5.5,,,,,101,,
4.3,,,,,89,,
5.9,,,,,86,,
4.7,,,,,79,,
6,,,,,98,,
4.3,,,,,92,,
6.7,,,,,96,,
4.5,,,,,89,,
4.7,,,,,82,,
6.5,,,,,103,,
5.3,,,,,93,,
4.5,,,,,102,,
6,,,,,97,,
5.3,,,,,90,,
6.1,,,,,81,,
5,,,,,114,,
4.3,,,,,91,,
6.2,,,,,105,,
4.4,,,,,91,,
5.2,,,,,91,,
4,,,,,86,,
5.7,,,,,83,,
6.5,,,,,119,,
6.3,,,,,97,,
5.3,,,,,100,,
6.5,,,,,95,,
7,,,,,87,,
3.3,,,,,91,,
5.7,,,,,81,,
6.3,,,,,92,,
6.6,,,,,106,,
5.5,,,,,85,,
4.7,,,,,73,,
5.7,,,,,94,,
5.4,,,,,102,,
3.7,,,,,99,,
5.4,,,,,99,,
6.1,,,,,89,,
5.6,,,,,78,,
5.4,,,,,91,,
6.5,,,,,123,,
6.5,,,,,120,,
6.4,,,,,95,,
5.7,,,,,106,,
6.3,,,,,103,,
6.7,,,,,111,,
5.2,,,,,119,,
5.7,,,,,99,,
6.1,,,,,81,,
6.5,,,,,118,,
